,endTime,artistName,trackName,msPlayed
240,2021-04-24 17:56,Kevin Gates,Me Too,174590.0
241,2021-04-24 17:58,sammy rash,summer&cigarettes,114427.0
242,2021-04-24 18:02,French Montana,Unforgettable,10286.0
243,2021-04-24 18:02,Mac Miller,The Spins,195873.0
244,2021-04-24 18:02,21 Savage,Mr. Right Now (feat. Drake),890.0
245,2021-04-24 18:05,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,214087.0
246,2021-04-24 18:06,Young Thug,Hop Off A Jet (feat. Travis Scott),6733.0
247,2021-04-24 18:08,Nebu Kiniza,Gassed Up,1858.0
248,2021-04-24 18:08,6 Dogs,Faygo Dreams,171906.0
249,2021-04-24 18:12,A Boogie Wit da Hoodie,Say A',214853.0
250,2021-04-24 18:12,6 Dogs,Faygo Dreams,26946.0
251,2021-04-24 18:15,YoungBoy Never Broke Again,Long RD,130612.0
252,2021-04-24 18:17,Dominic Fike,3 Nights,4031.0
253,2021-04-24 18:17,Lil Baby,Same Thing,162791.0
254,2021-04-24 18:20,YoungBoy Never Broke Again,Ranada,176483.0
255,2021-04-24 18:21,Lil Baby,How,7034.0
256,2021-04-24 18:23,The Future Kingz,3 Vets,129474.0
257,2021-04-24 18:25,Young Thug,Bad Bad Bad (feat. Lil Baby),149040.0
258,2021-04-24 18:28,MGMT,Kids,187567.0
259,2021-04-24 18:32,Grouplove,Tongue Tied,218013.0
260,2021-04-24 19:34,Powfu,death bed (coffee for your head),8601.0
261,2021-04-24 19:36,sammy rash,summer&cigarettes,114427.0
262,2021-04-24 19:39,Mac Miller,The Spins,195873.0
264,2021-04-24 19:41,sammy rash,summer&cigarettes,114427.0
265,2021-04-24 19:44,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),5990.0
266,2021-04-24 19:44,Mac Miller,The Spins,186792.0
267,2021-04-24 19:53,sammy rash,summer&cigarettes,64803.0
268,2021-04-24 20:22,Cherub,Doses & Mimosas,303754.0
269,2021-04-24 20:23,Lil Mosey,Live This Wild,6617.0
270,2021-04-24 20:23,Playboi Carti,Right Now (feat. Pi'erre Bourne),580.0
271,2021-04-24 20:23,Cherub,Doses & Mimosas,62345.0
272,2021-04-24 20:25,sammy rash,summer&cigarettes,114427.0
273,2021-04-24 20:25,Mac Miller,The Spins,7069.0
274,2021-04-24 20:28,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),179467.0
275,2021-04-24 20:37,Post Malone,Candy Paint,3668.0
276,2021-04-24 20:37,sammy rash,summer&cigarettes,32717.0
277,2021-04-24 20:40,Lil Mosey,Jumpin Out The Face,7871.0
278,2021-04-24 20:40,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",148236.0
279,2021-04-24 20:42,Lil Mosey,Jumpin Out The Face,5256.0
280,2021-04-24 20:42,iann dior,Flowers,114359.0
281,2021-04-24 20:44,iann dior,gone girl,135233.0
282,2021-04-24 20:45,Ty Dolla $ign,Powder Blue (feat. Gunna),58351.0
283,2021-04-24 20:47,Black Eyed Peas,Just Can’t Get Enough,107392.0
284,2021-04-25 05:42,Cherub,Doses & Mimosas,323253.0
285,2021-04-25 05:46,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),213080.0
286,2021-04-25 05:48,sammy rash,summer&cigarettes,114427.0
287,2021-04-25 05:51,Mac Miller,The Spins,195873.0
288,2021-04-25 05:55,Tiësto,Jackie Chan,215759.0
289,2021-04-25 06:53,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,100396.0
290,2021-04-25 06:55,sammy rash,summer&cigarettes,114427.0
291,2021-04-30 17:49,Kevin Gates,Me Too,998.0
292,2021-04-30 17:52,Mooski,Track Star,3200.0
293,2021-04-30 17:52,Kevin Gates,Me Too,192640.0
294,2021-04-30 17:59,Wes Walker,Jordan Belfort,23510.0
295,2021-04-30 17:59,Cherub,Doses & Mimosas,323253.0
296,2021-04-30 18:02,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),180650.0
297,2021-04-30 18:04,sammy rash,summer&cigarettes,105280.0
298,2021-04-30 18:07,Mac Miller,The Spins,195873.0
299,2021-04-30 18:07,21 Savage,Mr. Right Now (feat. Drake),447.0
300,2021-04-30 18:07,Post Malone,Congratulations,2176.0
301,2021-04-30 18:10,Tiësto,Jackie Chan,141653.0
302,2021-04-30 18:47,Kevin Gates,Me Too,193280.0
303,2021-04-30 18:53,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,356242.0
304,2021-04-30 18:54,Tiësto,Jackie Chan,5540.0
305,2021-04-30 18:58,KYLE,iSpy (feat. Lil Yachty),1514.0
306,2021-04-30 18:58,YBN Nahmir,Cake (feat. Wiz Khalifa),29397.0
307,2021-04-30 18:58,French Montana,Unforgettable,3072.0
308,2021-04-30 18:58,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",240213.0
309,2021-04-30 19:15,iann dior,Flowers,71978.0
310,2021-05-01 00:59,24kGoldn,GAMES ON YOUR PHONE,58176.0
311,2021-05-01 15:16,24kGoldn,GAMES ON YOUR PHONE,3436.0
312,2021-05-01 15:17,The Kid LAROI,Diva (feat. Lil Tecca),17136.0
313,2021-05-01 15:18,iann dior,Flowers,114359.0
314,2021-05-01 15:21,Lil Mosey,Jumpin Out The Face,170808.0
316,2021-05-01 15:30,Lil Tecca,Amigo,150093.0
317,2021-05-01 15:30,Lil Baby,Woah,19980.0
318,2021-05-01 15:31,Lil Mosey,Live This Wild,11377.0
319,2021-05-01 15:31,Lil Baby,Commercial (feat. Lil Uzi Vert),4226.0
320,2021-05-01 15:33,Roddy Ricch,Start Wit Me (feat. Gunna),158691.0
321,2021-05-01 15:36,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),183588.0
